nreqs,prefixlen,backend,req_per_sec,process_tok_per_sec,generate_tok_per_sec
1000,64,vllm+,5.431537694900201,2945.077505853397,1331.4002459247167
1000,256,vllm+,5.413535399584385,3974.7151340120477,1326.9874512877227
1000,128,vllm,4.755169413281446,2882.669291380652,1165.6061472612012
1000,256,vllm,4.048016378276574,2972.12648922547,992.265966708667
1000,1024,vllm+,5.287428549025557,7942.870340060074,1296.0756356513407
1000,64,vllm,5.154654952731,2794.946699159897,1263.5296406332336
1000,128,vllm+,5.446092588263635,3301.5193566720045,1334.9679996055354
1000,512,vllm+,5.356107191969373,5303.713751417528,1312.9104193243006
1000,512,vllm,3.0814846589999005,3051.3415760655635,755.3458455526916
1000,2048,vllm+,5.206838008728649,13153.60790073447,1276.3209600516013
1000,1024,vllm,2.059151280379982,3093.294118109856,504.7473984518627
1000,2048,vllm,1.2241124647902744,3092.3749425775577,300.05934381925124
