nreqs,prefixlen,backend,req_per_sec,process_tok_per_sec,generate_tok_per_sec
1000,64,vllm+,9.079231367515503,4922.922673631521,2225.53750973087
1000,256,vllm+,9.147683169950012,6716.393641674358,2242.316689350827
1000,128,vllm,7.868143042110715,4769.809938702273,1928.6706950543469
1000,256,vllm,6.8291293174179,5014.069669175936,1673.9834948027453
1000,1024,vllm+,8.935475767682814,13423.032536776942,2190.2995620774823
1000,64,vllm,8.491053933094145,4604.002281494441,2081.3611042957696
1000,128,vllm+,9.132348652037363,5536.194135140787,2238.5578309820066
1000,512,vllm+,9.04595287724051,8957.465366195342,2217.3801530807027
1000,512,vllm,5.3997833230433105,5346.9626425773,1323.6164872776683
1000,2048,vllm+,8.81000732342475,22255.999080567424,2159.5442351471684
1000,1024,vllm,3.6814183203782345,5530.29286640195,902.4039843643943
1000,2048,vllm,2.256422776464301,5700.215833514093,553.1033766580352
